Organisation_Code,Specialty,Number_Of_Beds,Effective_Snapshot_Date
RWA,146,0,30/09/2019
RY5,148,0,30/09/2019
RDR,350,0,30/09/2019
RXH,361,0.043478,30/09/2019
RAL,148,0,30/09/2019
RXR,350,0,30/09/2019
RNA,147,0,30/09/2019
RXQ,352,0,30/09/2019
RWY,146,0,30/09/2019
RY8,148,0,30/09/2019
RDU,350,0,30/09/2019
RXQ,361,0,30/09/2019
RAN,148,0,30/09/2019
R0B,350,0,30/09/2019
RNQ,147,0,30/09/2019
RXX,352,0,30/09/2019
RX3,146,0,30/09/2019
RYG,148,0,30/09/2019
RHM,350,0,30/09/2019
RXX,361,0,30/09/2019
RAP,148,0,30/09/2019
RAE,350,0,30/09/2019
RNS,147,0,30/09/2019
RXY,352,0,30/09/2019
RX4,146,0,30/09/2019
RYK,148,0,30/09/2019
RHU,350,0,30/09/2019
RXY,361,0,30/09/2019
RAS,148,0,30/09/2019
RCB,350,0,30/09/2019
RP1,147,0,30/09/2019
RYR,352,0,30/09/2019
RXE,146,0,30/09/2019
RYW,148,0,30/09/2019
RHW,350,0,30/09/2019
RYR,361,0,30/09/2019
RAT,148,0,30/09/2019
RCD,350,0,30/09/2019
RP7,147,0,30/09/2019
R1A,352,0,30/09/2019
RXF,146,0,30/09/2019
TAJ,148,0,30/09/2019
RN5,350,0,30/09/2019
R1A,361,0,30/09/2019
RAX,148,0,30/09/2019
RCF,350,0,30/09/2019
RQ3,147,0,30/09/2019
RBK,352,0,30/09/2019
RXG,146,0,30/09/2019
R1L,148,0,30/09/2019
RN7,350,0,30/09/2019
RBK,361,0,30/09/2019
RF4,148,0,30/09/2019
RCU,350,0,30/09/2019
RRE,147,0,30/09/2019
RFS,352,0,30/09/2019
RXP,146,0,30/09/2019
RAJ,148,0,30/09/2019
RNU,350,0,30/09/2019
RFS,361,0,30/09/2019
RJ1,148,0,30/09/2019
RFF,350,0,30/09/2019
RRJ,147,0,30/09/2019
RHA,352,0,30/09/2019
RY6,146,0,30/09/2019
RC1,148,0,30/09/2019
RPA,350,0,30/09/2019
RHA,361,0,30/09/2019
RJ2,148,0,30/09/2019
RFR,350,0,30/09/2019
RRK,147,0,30/09/2019
RJC,352,0,30/09/2019
TAD,146,0,30/09/2019
RC9,148,0,30/09/2019
RPC,350,0,30/09/2019
RJC,361,0,30/09/2019
RJ6,148,0,30/09/2019
RGD,350,0,30/09/2019
RTG,147,0,30/09/2019
RJE,352,0,30/09/2019
TAH,146,0,30/09/2019
RCX,148,0,30/09/2019
RTH,350,0.173913,30/09/2019
RJE,361,0.608696,30/09/2019
RJ7,148,0,30/09/2019
RHQ,350,1.326087,30/09/2019
RWD,147,0,30/09/2019
RK5,352,0,30/09/2019
R1H,147,0,30/09/2019
RD8,148,0,30/09/2019
RTK,350,0,30/09/2019
RK5,361,0,30/09/2019
RJZ,148,0,30/09/2019
RJL,350,0,30/09/2019
RWE,147,0,30/09/2019
RKB,352,0,30/09/2019
R1K,147,0,30/09/2019
RDD,148,0,30/09/2019
RTP,350,0,30/09/2019
RKB,361,0.021739,30/09/2019
RKE,148,0,30/09/2019
RNL,350,0,30/09/2019
RWP,147,0,30/09/2019
RL1,352,0,30/09/2019
RAL,147,0,30/09/2019
RDE,148,0,30/09/2019
RVV,350,0,30/09/2019
RL1,361,0,30/09/2019
RKL,148,0,30/09/2019
RNN,350,0,30/09/2019
RX1,147,0,30/09/2019
RL4,352,0,30/09/2019
RAN,147,0,30/09/2019
RGM,148,0,30/09/2019
RW1,350,0,30/09/2019
RL4,361,0,30/09/2019
RP4,148,0,30/09/2019
RP5,350,0,30/09/2019
RXK,147,0,30/09/2019
RLQ,352,0,30/09/2019
RAP,147,0,30/09/2019
RGN,148,0,30/09/2019
RWF,350,0,30/09/2019
RLQ,361,0,30/09/2019
RP6,148,0,30/09/2019
RR7,350,0,30/09/2019
RXM,147,0,30/09/2019
RLT,352,0,30/09/2019
RAS,147,0,30/09/2019
RGP,148,0,30/09/2019
RWX,350,0,30/09/2019
RLT,361,0,30/09/2019
RPG,148,0,30/09/2019
RR8,350,0,30/09/2019
RXT,147,0,30/09/2019
RLY,352,0,30/09/2019
RAT,147,0,30/09/2019
RGR,148,0,30/09/2019
RX2,350,0,30/09/2019
RLY,361,0,30/09/2019
RPY,148,0,30/09/2019
RTD,350,0,30/09/2019
RXW,147,0,30/09/2019
RNA,352,0,30/09/2019
RAX,147,0,30/09/2019
RGT,148,0,30/09/2019
RXC,350,0,30/09/2019
RNA,361,0,30/09/2019
RQM,148,0,30/09/2019
RTF,350,0,30/09/2019
RY5,147,0,30/09/2019
RNQ,352,0,30/09/2019
RF4,147,0,30/09/2019
RM1,148,0,30/09/2019
RXH,350,0,30/09/2019
RNQ,361,0.054348,30/09/2019
RQX,148,0,30/09/2019
RTR,350,0,30/09/2019
RY8,147,0,30/09/2019
RNS,352,0,30/09/2019
RJ1,147,0,30/09/2019
RMY,148,0,30/09/2019
RXQ,350,0,30/09/2019
